Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00824624, 0.00548926, 0.00275411, 0.000113562, 2729, 42937, 4131
0.0125477, 0.00726503, 0.00528025, 0.000104986, 2777, 41882, 3699
0.0177854, 0.00416446, 0.0136194, 9.8012e-05, 2742, 43169, 3456
0.00643018, 0.00422965, 0.0021986, 0.000115015, 2766, 44310, 4104
0.0139511, 0.00442687, 0.0095226, 0.000128457, 2771, 44108, 4941
0.00862178, 0.00525595, 0.0033635, 0.0001321, 2736, 43159, 5292
0.0099561, 0.00679132, 0.00316221, 0.000136408, 2745, 45767, 4752
0.0121731, 0.00770146, 0.00446968, 0.000192049, 2667, 44855, 4995
0.0137175, 0.00940418, 0.00431078, 0.000121376, 2689, 43993, 4050
0.0147503, 0.011233, 0.00351547, 0.000136721, 2644, 42708, 5373
0.0161398, 0.0111534, 0.00498424, 0.000130184, 2759, 45309, 4752
0.0163063, 0.0119216, 0.00438263, 0.000131836, 2743, 45967, 5157
0.0218122, 0.0135753, 0.00823414, 0.000170994, 2778, 45744, 5481
0.0116299, 0.00769641, 0.00393123, 0.000231063, 2776, 45210, 4860
0.0513349, 0.0298258, 0.0215066, 0.00123636, 2767, 45553, 4671
0.0100886, 0.00667868, 0.00340773, 0.000122203, 2779, 45890, 4509
0.0223345, 0.00797203, 0.0143601, 0.000141902, 2721, 45338, 4455
0.00775009, 0.0047491, 0.00299859, 0.000134955, 2764, 45173, 4995
0.0113588, 0.00635845, 0.00499775, 0.000114122, 2669, 45822, 3888
0.00929869, 0.00577164, 0.00352493, 0.000130112, 2764, 45819, 4644
0.00883845, 0.00490539, 0.00393062, 0.0001425, 2680, 45044, 5211
0.0289977, 0.00557027, 0.0234252, 9.9992e-05, 2729, 43811, 3618
0.0233533, 0.0123019, 0.0110491, 0.000127941, 2726, 45522, 4671
0.00763406, 0.00501202, 0.00261984, 0.000118474, 2736, 46828, 4320
0.00923764, 0.00457704, 0.00465822, 0.00011183, 2727, 44793, 3996
0.00824728, 0.00582695, 0.00241764, 0.000120965, 2696, 41241, 4239
0.0115241, 0.00853575, 0.00298698, 0.000183169, 2725, 45813, 5913
0.00754149, 0.00523232, 0.00230709, 0.000117501, 2669, 45128, 4752
0.00904412, 0.00667793, 0.00236454, 0.000114692, 2726, 44977, 4239
0.00860647, 0.00517675, 0.00342736, 0.000133946, 2682, 45802, 4428
0.0128655, 0.00873032, 0.00413317, 0.000123203, 2734, 43809, 3996
0.0101472, 0.00541379, 0.00473121, 0.000749789, 2672, 44097, 4428
0.0435978, 0.0349625, 0.00863269, 0.000115297, 2762, 46235, 3996
0.014724, 0.00666075, 0.00806099, 0.000482771, 2710, 45117, 4509
0.0184808, 0.0156099, 0.0028687, 0.000111395, 2764, 40032, 3807
0.0135131, 0.0041125, 0.00939856, 9.3299e-05, 2722, 42019, 3240
0.00904485, 0.00673224, 0.00231038, 0.000104713, 2805, 42533, 3672
0.010396, 0.00633049, 0.00406307, 0.000116249, 2771, 44065, 4104
0.0101297, 0.00574739, 0.00438007, 0.00011998, 2800, 45457, 3996
0.0178702, 0.0157833, 0.00208488, 9.5217e-05, 2769, 44811, 3591
0.0100029, 0.00752177, 0.00247887, 0.000119755, 2743, 44292, 4077
0.0169429, 0.00421042, 0.0127305, 0.000127032, 2771, 44837, 4698
0.00746424, 0.00485845, 0.00260344, 0.000131078, 2722, 45505, 4806
0.0152287, 0.0130266, 0.00220023, 0.000132802, 2815, 47208, 5265
0.00716622, 0.00517503, 0.00198864, 9.7346e-05, 2718, 44914, 3861
0.00842745, 0.00639176, 0.00203336, 9.8544e-05, 2755, 45200, 3753
0.00972384, 0.00760801, 0.00211422, 0.00010013, 2682, 44101, 3753
0.00746808, 0.00390603, 0.00356071, 0.000101722, 2749, 44107, 3618
0.00801407, 0.00514175, 0.00287015, 0.000132725, 2702, 44877, 4617
0.00703043, 0.00471199, 0.00231675, 0.000108377, 2747, 40614, 3834
0.0103346, 0.00640271, 0.00392967, 0.000109915, 2670, 42617, 3942
0.0113176, 0.00803648, 0.00327904, 0.000105378, 2755, 41502, 3645
0.0107657, 0.0067, 0.00406317, 0.000130258, 2761, 44694, 4347
0.0280885, 0.0198643, 0.00822251, 0.00012579, 2754, 44020, 4239
0.00994744, 0.0064603, 0.00348504, 0.000122017, 2790, 45146, 4131
0.00679451, 0.00414507, 0.00264736, 0.000116851, 2780, 44430, 4185
0.0124013, 0.00770163, 0.00469719, 0.000328116, 2718, 45149, 4509
0.00796086, 0.00515697, 0.00280255, 0.000111152, 2706, 45317, 4401
0.00963892, 0.00547287, 0.00416404, 0.00013048, 2705, 44078, 4833
0.00590797, 0.00404054, 0.00186563, 0.000118332, 2646, 41864, 4968
0.0114777, 0.00576879, 0.00570704, 0.000162875, 2733, 44626, 6831
0.0204439, 0.00634753, 0.0140934, 0.000119422, 2719, 45190, 4077
0.00908899, 0.00440226, 0.00468419, 0.000118259, 2756, 45509, 4266
0.00985684, 0.00727421, 0.00258043, 0.000249057, 2834, 44753, 4536
0.00949874, 0.00636849, 0.00312805, 0.000123919, 2741, 45486, 3915
0.0109581, 0.00816183, 0.00279449, 0.000132591, 2767, 45790, 4860
0.00671648, 0.00419721, 0.00251733, 0.000110314, 2767, 45293, 4158
0.0107044, 0.00777624, 0.00292626, 0.000114311, 2674, 45064, 4374
0.00778262, 0.00533996, 0.00244056, 0.000102596, 2760, 45478, 4023
0.0354397, 0.0195337, 0.0159043, 0.000111623, 2738, 45086, 3672
